date,SYN01,SYN02,SYN03,SYN04,SYN05,SYN06,SYN07,SYN08,SYN09,SYN10,SYN11,SYN12
2010-01-04,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000
2010-01-05,99.1690731856,101.4523508915,98.3112514381,100.6615672071,100.8308972727,97.9751924037,100.5354241819,100.1188334014,100.8263249846,100.6658958537,101.9745914550,98.7124293959
2010-01-06,97.0039652700,102.1072100034,96.1227668272,99.8588483418,103.8169993125,98.3791141515,99.0219042015,98.2542876246,101.6671958089,100.6883436142,102.9728732389,98.8620060257
2010-01-07,97.4852859698,103.1579547160,98.2003356309,101.4987639156,101.7603266219,97.4720178038,99.6119542414,97.9970053112,102.5410521204,100.2553409416,100.3231393933,102.7901692230
2010-01-08,98.1648296466,105.7868700871,95.6961413711,102.7619511599,99.3572765828,98.1796043527,98.4284360725,100.2057846424,103.1539262894,98.1286960189,99.5461886736,101.5726910632
2010-01-11,97.1246116225,105.9620157833,96.4134436015,99.8678808110,102.0888188509,100.7971550048,98.1645893520,99.7832422826,100.8706907173,99.9677270962,101.9833680397,100.0017062658
2010-01-12,96.8676565815,105.7970596138,96.4512951338,96.9231087030,97.9817290449,99.3357714397,97.7953652888,100.4102561199,100.9550608848,98.1031480996,101.0433530403,102.6637034614
2010-01-13,95.7141231073,107.7675058636,96.3011815373,95.1478701785,99.3434805876,99.2904289942,98.8986685395,101.9021625223,100.0844050400,97.3461351604,99.6734892550,104.8159587108
2010-01-14,95.9949156781,107.7650904489,95.2709097682,90.2069353343,96.7032294497,98.0790756549,98.5115086045,104.2812989905,98.6874842232,98.8508145427,99.3381048776,107.3477629824
2010-01-15,96.4372765127,105.1754712152,94.3285746049,90.3416664911,98.7838426938,94.6555123860,99.5941404866,103.5336871875,99.5394322662,97.9215566748,100.0282107797,107.6336062153
2010-01-18,98.3427740211,105.9161144207,96.3841256240,91.9983950060,96.9473488243,93.7082725788,99.8340849998,101.7350474058,100.6252344686,97.5523325457,98.6339552515,107.0011085180
2010-01-19,97.6874945370,104.7915948057,95.4047986745,90.0423334622,95.4907629289,93.3704060405,97.7982438877,100.0567832835,99.3936419549,98.3546832917,99.3802936437,107.4927335284
2010-01-20,96.8897204926,104.2124455439,96.1991157186,89.6088246668,95.1196034525,92.2036503290,99.5098814827,100.5077108077,97.8528391026,97.3139137576,97.9339172284,109.5257066566
2010-01-21,96.2292626156,103.8529807451,95.1969454188,89.7439944833,95.2080928057,89.5393612650,98.6962971717,102.8993385132,98.1110341216,98.0949942901,97.6364485278,108.0354707046
2010-01-22,95.9164546712,101.8120910003,92.9379051260,88.2200602984,96.8671913562,88.3214196808,97.1758369836,103.4219577430,97.6884225634,97.8383145228,99.7634381208,109.0088468017
2010-01-25,95.9081221790,101.7247312041,92.2545776423,87.7679923008,96.7402344209,88.6594935273,93.6061695342,104.1989990861,98.2732436750,99.7765684485,100.5402395631,109.8554296047
2010-01-26,96.8924417046,104.0189377988,91.1608070894,89.0320666301,99.7471681498,87.1794027156,95.4402846746,103.2891404229,96.6502010738,100.1963128847,99.9173029085,106.7894489053
2010-01-27,94.9383337865,100.9440292861,90.7463223396,90.2884896916,99.2635080499,88.9846853891,93.5102951397,101.8379365798,97.3538881696,99.2138748606,97.0591857107,106.6164937935
2010-01-28,93.1775454752,99.9498112654,90.1209802154,89.4296029546,99.9242661790,85.7368669393,91.1994359372,99.7502755507,93.8464339313,98.3141369281,95.8171124025,111.9142569110
2010-01-29,93.8238570217,99.9648415246,90.7277147750,87.7922181685,98.5086500445,87.0124282172,92.3653959148,99.4498808405,94.9730299471,97.6692388409,95.2028609318,109.2543301163
2010-02-01,93.7577030341,99.5006941640,91.6474796646,84.9581256416,101.3987356314,86.5052081001,92.4650868074,98.6301908780,92.6251949359,97.2489954391,92.6796631025,107.2961078407
2010-02-02,94.3180401645,103.6575641013,89.3570733973,84.2319377356,101.5585830975,88.4751159705,92.1778771311,98.0404105589,92.9376119912,98.7830656975,93.8831938914,110.2529233481
2010-02-03,95.2523353940,102.4859864900,89.1096454009,82.6859731327,103.8161648641,89.6486498004,92.8753465268,98.4924199427,94.5579037502,100.1377023546,95.3122719922,108.0395994087
2010-02-04,96.1795544410,104.5630607503,88.6429548262,85.3864461752,106.5304206322,88.3343280440,93.3483872462,98.8519433727,95.0227023272,98.7304300102,94.7986750222,108.3410247283
2010-02-05,96.9845254460,104.8416075822,88.9623998581,85.9287986573,107.0814786905,89.3069895253,95.1269533795,95.4676710321,96.6636798057,98.4234807482,96.2106948494,110.4023864695
2010-02-08,99.3128850863,105.9516204797,89.5434635319,85.2958526126,107.6876040507,90.9349848044,92.5061188109,94.3962706612,96.6222972516,98.9851093108,96.6073165756,109.6853123132
2010-02-09,100.9378735495,107.0863998925,87.5899191200,85.8534649008,107.2232922386,90.0275363815,94.1233687999,98.2307458640,95.6004417879,98.6081653308,96.5709771938,110.7246808438
2010-02-10,100.1234797054,104.5483490923,88.4739371638,84.5191321852,107.2270952059,89.5233929630,93.5483198049,95.1309779847,93.7576475355,98.3825023074,91.9954020616,113.0504374716
2010-02-11,100.7077878064,107.0724668729,88.3049800885,82.2608443016,109.4164891844,88.2512416999,91.5865493408,96.2884153120,93.4347630913,97.9202996779,92.2771682941,114.3340125576
2010-02-12,99.6809401956,105.5943508163,89.2909330420,80.9258765836,110.4845090901,91.1169861909,92.1771518020,95.3724428621,94.2957106852,96.7792282660,94.3069382416,116.4540773382
2010-02-15,100.6031859964,105.0010484620,89.8754209009,80.0644264622,108.8082585852,91.2471223373,91.4908934203,91.3723956610,93.4978748876,96.7446116766,93.3674613084,117.9273787147
